440,442
440,617
132,849
758,512
956,840
796,364
413,476
530,417
484,467
436,465
1303,208
524,61
552,512
36,371
52,702
229,646
469,803
103,483
447,635
605,630
738,661
1031,760
164,547
1169,131
331,235
686,793
216,35
997,591
448,641
534,9
1064,592
465,653
249,421
1198,617
743,176
318,124
1173,646
497,313
970,287
152,820
20,484
1303,14
167,123
763,656
1237,581
207,546
1007,808
1002,152
1081,696
905,365
393,875
47,865
845,248
1039,859
0,476
159,644
1243,303
238,220
721,339
982,866
1146,570
149,81
917,507
753,248
602,35
222,700
1059,556
569,245
878,684
1208,624
261,834
1235,7
996,607
300,616
416,2
870,4
497,581
75,439
551,483
150,686
475,814
303,93
687,341
857,523
1057,878
159,420
806,119
1133,813
838,610
236,427
431,259
62,714
669,583
510,722
82,806
589,339
759,411
863,635
800,680
495,474
547,238
544,856
1044,158
1279,665
237,301
105,422
1079,246
18,77
566,892
1059,281
1228,579
1039,478
432,5
964,781
862,148
415,561
669,739
566,35
102,512
1258,35
341,645
1123,704
1059,439
885,810
1282,870
862,746
525,575
364,523
214,72
447,348
355,129
656,540
487,17
1282,24
487,877
1228,200
484,427
624,793
75,7
1073,301
692,735
900,88
534,522
3,21
1140,770
1230,9
405,459
1146,771
74,768
492,862
65,890
805,627
756,856
1210,87
440,4
1015,208
920,162
736,437
431,635
459,656
1280,465
408,144
544,663
806,791
1295,576
1059,887
782,35
425,732
440,218
1133,135
1140,124
112,617
321,561
761,222
279,582
863,348
428,486
1222,674
1031,281
452,333
80,9
313,515
1059,108
435,14
760,812
1176,645
346,113
566,450
375,582
162,324
57,472
812,546
423,742
102,382
567,785
766,35
62,610
415,277
137,696
477,305
935,613
88,444
0,521
239,337
393,427
217,130
793,763
897,476
897,771
905,399
189,696
922,382
1274,371
668,383
803,814
979,21
102,830
460,800
977,331
135,474
1103,187
370,70
1110,483
333,779
1133,533
700,63
1046,610
1091,86
0,885
62,834
566,483
1047,100
1206,229
813,350
446,831
1059,729
1143,17
753,57
162,772
719,548
353,522
592,284
333,245
791,644
641,67
417,749
231,191
1212,842
264,508
547,126
659,877
74,220
109,647
465,708
845,584
261,610
1133,725
253,430
3,588
736,816
820,137
1091,360
52,192
110,215
574,816
80,78
1057,430
27,336
873,316
1134,511
669,695
636,270
237,749
1073,749
1121,696
542,254
1074,427
989,320
477,589
1171,317
264,610
326,28
1059,837
1287,823
1146,261
811,380
12,383
565,525
1208,400
