359781776524153, 312705660279075, 236728636905923 @ -44, -125, 18
276481733510955, 270867065789660, 273768862611813 @ 35, 20, 33
189537654420103, 292422605212995, 333617095281945 @ 102, -15, -14
218440661125187, 311257805711517, 397236558715907 @ 11, -36, -64
350319329813041, 199257804608985, 240601588254983 @ 60, 352, -60
293242809862211, 263155044082735, 238938467832018 @ 91, 43, 60
178218486137046, 158886766551600, 258181321735728 @ 38, 156, 132
326761181667979, 349952470473495, 237010407680273 @ -83, -130, 118
313593461277646, 318994945999839, 275400620377409 @ 124, -149, -123
212060439161879, 348143557554674, 389415054345392 @ 71, -104, -106
262253147094843, 220705240641723, 274249842555989 @ -62, 81, 110
339240867377458, 353831993327496, 334020534305099 @ 40, -282, -349
392697172500057, 242007122572917, 182367018694819 @ -64, 234, 190
210294886638871, 463722291201291, 232370095000029 @ 84, -297, 141
153271575488599, 365707496477739, 310011660297779 @ 17, -81, 94
175718250613548, 86736646306102, 292513577206822 @ 32, 238, 94
277154282784877, 170896994786910, 151513483430201 @ 181, 330, 309
236587555453687, 339276839612711, 354229834383216 @ 63, -101, -80
248568457699215, 245645602322645, 426743505696567 @ -43, 50, -84
381881591479280, 310659528398939, 204775719497090 @ -44, -193, 74
371273725017195, 359557740276979, 424790364180125 @ -188, -112, -133
394148651330581, 304103196608892, 253838321348177 @ -111, -158, -203
284427122992558, 321506207870043, 211941611372840 @ 56, -97, 150
384316314583723, 204439553018165, 159113814423841 @ -9, 490, 351
215435961698589, 247521351594975, 314597880402471 @ -22, 45, 72
330937746743591, 256742660608805, 271814294964385 @ -71, 50, 31
359915514205629, 243354090360353, 165893469391833 @ -143, 73, 253
196664014701297, 314993528732280, 141945005952264 @ -19, -30, 270
214756650889679, 118203330249847, 419498704580895 @ 127, 307, -225
368646345745700, 293532891221220, 207043942227373 @ 10, -90, 73
367905064292967, 242737142087717, 231215862769885 @ 101, 224, -143
258037816972874, 216247125018863, 402980459406780 @ 70, 131, -228
398421784548814, 258574585792654, 220044979755901 @ 42, 214, -359
236271873401729, 340858136441858, 501614828103299 @ -67, -56, -109
372074983687469, 271852137646086, 200609956198344 @ 41, 24, 82
320754185511631, 233981745690090, 321362939513498 @ -121, 70, 30
392584984699387, 470595481371867, 449081406003701 @ -163, -669, -713
86755804198675, 183594827117487, 333989105987345 @ 63, 102, 80
296468308621699, 183966923476819, 257663095417253 @ -9, 196, 68
290067499283179, 254754804372875, 323701618137461 @ 21, 55, -85
305155654662163, 435653342653683, 332349008308101 @ -75, -246, -18
321918243905795, 291318077425549, 297468808288815 @ 107, -52, -218
292396778257401, 271883737118025, 272444274199903 @ 10, 18, 30
97742398323379, 9226075889085, 301530019555279 @ 51, 270, 112
74473130803753, 130679300655477, 242904120993797 @ 113, 169, 161
162880876383161, 316578262308599, 450003504432756 @ 49, -37, -96
401070704232583, 282062525723307, 177550780706585 @ -8, -97, 216
254205195966601, 338360241893385, 270238739681858 @ 113, -131, 22
208322407055806, 300509488835067, 256132619307572 @ 114, -33, 92
317181447056707, 227230104225771, 383562017818061 @ -153, 63, 17
348214846308625, 295746382936751, 265098357158524 @ -15, -61, -68
229038752286627, 301777972591157, 293107606776017 @ -5, -23, 77
165530211339009, 35592690001629, 366712224358257 @ 58, 312, -5
132016632747730, 91635669822549, 484448386368407 @ 22, 193, -69
339900951042397, 295919502625533, 415468609870673 @ -14, -54, -497
338643451580529, 301678485177321, 318812825315797 @ -148, -24, 37
328435703014155, 323220238116563, 232066552801237 @ 113, -187, 7
209355504656011, 24210295338387, 48148965439367 @ 99, 439, 451
281647736248252, 344913964584243, 107391313852346 @ 190, -217, 456
378474845971131, 285516010119715, 213570667836013 @ -25, -53, 25
283723763307321, 274498163027929, 312157089689609 @ -31, 13, 5
404367917876871, 275908440062535, 210676329535573 @ -128, -6, -45
337594756822133, 324996040695673, 272105149220987 @ -50, -116, -10
352038065142621, 233268756169771, 310720891762128 @ -151, 79, 18
406226548612650, 249663107713011, 205092926261090 @ -68, 327, -148
374430790004806, 260803063722580, 224375524497028 @ 114, 116, -156
198155852619494, 31245105410840, 97882001023732 @ -8, 290, 322
274024382809909, 120024541418325, 226239704254115 @ -79, 205, 171
276436553960779, 283680393858165, 239714467437335 @ 87, -10, 80
211228223448121, 298137170992725, 307308448084103 @ 102, -28, 6
293388553993693, 312377346709197, 305606269444337 @ -62, -46, 31
214230787388103, 261302875429603, 382842481950441 @ -20, 29, -8
321302564547269, 245790628841396, 233106814200277 @ 61, 104, 49
202651979967681, 277669739938820, 364746135253829 @ -11, 10, 17
143648636782103, 151253676963637, 455493311704283 @ 7, 133, -37
319244555153876, 293953176219385, 290325842586263 @ -74, -23, 23
150801465324820, 259385634456000, 469471991064249 @ 30, 30, -83
391329328869597, 272646030178531, 169294603413881 @ 97, 23, 317
227077422437462, 292755203727942, 358470242728266 @ 8, -12, -20
319911178311731, 271937062424875, 275109064634653 @ 34, 19, -56
395151743641936, 184818070657440, 266709893710793 @ -94, 590, -355
237365157376479, 228713413625743, 321694975582561 @ -10, 76, 34
312550986204486, 117375482252690, 350863522911273 @ -70, 290, -75
311768217342527, 303585131631267, 307820492083289 @ 20, -63, -106
281068623213467, 217629459306359, 69607459422293 @ -25, 109, 413
391806705856219, 244260809949603, 251068194490217 @ -209, 67, 99
362314600720391, 191199843217726, 215503062739028 @ 119, 548, -22
368983658593451, 268826238977269, 241999660999499 @ -41, 34, -46
244127412254299, 476018834427687, 294904075551459 @ -57, -219, 96
