--- scanner 0 ---
-339,-423,-683
388,759,-628
-365,-593,333
-681,789,510
-595,692,449
524,660,-632
-640,852,-712
345,-679,700
544,-647,-440
-293,-502,-733
-658,852,-647
27,60,34
550,449,659
425,-794,745
669,-569,-410
395,662,-590
-328,-606,269
681,423,642
-315,-725,288
-571,892,-801
364,-748,824
-440,-496,-718
133,-79,-86
760,456,621
-673,669,512
598,-692,-433

--- scanner 1 ---
476,-305,615
-568,591,-608
-540,-494,359
532,-377,628
-516,-436,436
-11,13,-5
408,-806,-440
433,858,750
593,515,-406
424,911,865
424,-735,-351
-690,721,917
456,893,715
276,-708,-421
607,-418,641
-540,718,873
-613,637,827
583,493,-402
-798,632,-588
-901,-676,-531
-571,-372,452
-936,-546,-614
-857,-586,-483
560,453,-383
-175,-66,119
-667,746,-630

--- scanner 2 ---
-780,672,-873
-414,-396,573
451,-547,450
-494,-348,583
169,134,-141
970,704,-834
761,712,-798
-719,561,-893
-380,-721,-584
-312,809,717
-352,700,642
427,-363,-748
408,-403,-703
-439,768,771
735,892,471
-329,-363,473
-12,-3,10
-805,512,-765
820,750,-883
399,-448,532
404,-258,-837
624,844,484
-379,-739,-772
798,769,506
-362,-833,-659
479,-582,534

--- scanner 3 ---
-635,654,370
780,-657,-564
409,-386,453
-675,690,556
-806,743,-612
-897,-324,770
-626,-572,-488
709,760,-431
629,832,566
35,95,16
626,821,642
427,-306,598
773,-585,-492
-114,30,-94
650,-644,-531
-773,-295,762
641,788,-624
-754,-492,-532
422,-388,728
594,801,550
634,772,-563
-665,571,422
-765,754,-657
-539,-475,-594
-649,805,-584
-738,-358,740

--- scanner 4 ---
704,-633,783
322,788,-848
-696,-585,-803
-539,552,589
-494,641,-759
411,526,567
401,731,-824
-465,621,-815
-514,782,555
632,-705,776
-741,-573,644
-476,784,592
-713,-766,712
-707,-540,-762
569,762,-851
407,472,511
-758,-613,-646
-97,110,-136
619,-709,-623
-495,603,-637
82,-22,-41
539,-665,-751
522,-603,-536
691,-666,653
557,529,509
-725,-634,637

--- scanner 5 ---
125,-50,43
38,47,-110
482,710,747
775,-478,347
-381,583,485
469,451,730
-594,406,-444
-587,-330,624
-470,-772,-864
813,-677,-436
916,-658,-511
499,584,739
-505,454,-517
-419,-579,-874
-480,370,-496
626,767,-739
584,706,-736
-536,-378,561
792,-591,253
-402,-686,-807
-350,596,481
774,-666,365
695,707,-590
-632,-382,452
-380,545,482
825,-574,-415

--- scanner 6 ---
-623,627,873
648,-548,593
386,669,498
-577,672,-562
-732,573,-584
723,-633,-378
-862,-579,-629
-764,-563,-563
-704,700,919
600,383,-437
450,724,482
740,-464,-328
-905,-595,476
690,339,-485
51,2,87
-29,-131,183
-906,-566,-516
-618,442,-542
590,-624,646
-803,-658,437
560,304,-568
508,700,405
615,-759,622
610,-520,-339
-707,550,963
-793,-606,426

--- scanner 7 ---
-99,117,-7
-483,586,-949
-630,-361,-457
389,847,286
472,-308,755
-714,-389,-409
419,885,-977
-704,-368,-583
-569,709,377
503,-451,769
-615,-488,647
-385,492,-943
-629,-313,549
473,-258,790
-712,607,420
485,866,285
493,825,-915
445,-615,-869
578,945,-920
308,-606,-818
309,-572,-764
-549,547,-968
354,800,217
-78,-38,-135
-631,-391,597
-492,555,393

--- scanner 8 ---
-833,-573,-767
-572,435,589
-965,-621,-769
-143,-91,-98
331,593,-726
-574,526,-661
584,290,438
-480,352,492
-497,572,504
455,-903,336
315,-822,-726
486,-760,322
-569,352,-713
-984,-616,-722
-86,31,66
330,-692,-645
333,-582,-714
-648,-820,494
456,-953,301
-632,-723,444
-574,574,-664
-646,-898,542
297,638,-899
653,419,510
575,316,603
208,665,-773

--- scanner 9 ---
458,528,759
815,-505,673
803,-747,-545
