departure location: 33-679 or 691-971
departure station: 48-646 or 671-966
departure platform: 37-601 or 619-950
departure track: 41-863 or 875-973
departure date: 37-145 or 168-965
departure time: 26-246 or 257-972
arrival location: 30-542 or 556-960
arrival station: 30-75 or 89-954
arrival platform: 48-274 or 299-958
arrival track: 41-561 or 567-957
class: 40-237 or 243-952
duration: 33-317 or 336-972
price: 47-365 or 381-957
route: 29-415 or 435-951
row: 45-762 or 784-972
seat: 34-888 or 914-968
train: 50-502 or 513-960
type: 45-802 or 825-961
wagon: 44-458 or 475-963
zone: 28-721 or 735-972

your ticket:
53,67,73,109,113,107,137,131,71,59,101,179,181,61,97,173,103,89,127,139

nearby tickets:
556,988,567,847,219,631,519,625,634,639,362,750,703,882,798,931,177,888,59,312
190,445,591,270,798,677,575,789,880,880,748,788,6,597,475,746,172,221,925,97
437,141,105,837,357,587,363,309,185,887,181,833,929,945,716,445,247,800,795,65
593,594,96,761,314,258,851,560,224,788,403,635,829,946,857,572,383,67,944,160
939,408,531,121,885,513,556,762,757,261,847,596,713,527,645,84,693,348,847,487
105,877,638,130,451,336,197,188,711,695,320,245,879,57,518,853,354,57,705,217
274,835,350,884,258,637,834,145,199,269,943,508,405,231,645,624,385,622,210,537
313,365,269,879,96,718,887,571,383,635,894,484,266,389,628,634,458,271,752,408
591,449,223,337,492,75,922,579,489,60,738,775,364,696,355,174,413,216,354,175
586,837,358,790,108,268,739,180,215,477,831,700,570,940,61,382,196,982,107,312
568,596,52,791,556,947,145,72,402,384,746,941,95,312,644,907,916,452,398,184
142,478,886,862,213,788,315,704,192,707,699,335,862,485,212,118,221,346,344,398
91,21,269,525,136,624,340,944,458,99,792,488,716,560,693,746,691,876,698,538
190,227,645,202,383,916,797,88,802,675,271,793,785,943,539,446,678,735,229,218
147,600,245,521,587,642,354,119,745,878,744,259,700,110,124,486,630,701,707,265
715,757,411,397,699,755,83,637,640,120,260,89,264,264,496,518,620,837,245,916
741,695,405,860,556,55,111,574,831,716,920,359,638,873,678,601,412,943,360,484
192,139,396,360,439,540,103,481,679,340,542,597,947,538,357,560,581,182,608,451
117,346,940,631,354,355,65,116,357,787,878,559,789,784,262,701,453,340,255,558
743,304,621,312,770,691,138,261,695,494,633,833,747,624,479,145,313,760,536,600
480,497,784,853,846,134,217,204,859,170,493,535,559,539,133,182,452,872,580,532
860,861,415,351,933,920,385,107,109,266,990,264,200,568,881,640,798,753,490,582
878,844,938,274,232,307,196,109,719,102,568,761,997,93,114,168,587,529,268,708
736,522,134,704,357,441,676,501,857,531,191,917,542,66,267,220,627,982,172,569
171,345,89,943,258,678,939,738,397,672,396,530,194,408,614,123,499,883,393,717
